# Matter power spectrum P(k) at redshift z=0.7
# for k=1.045e-05 to 5.35572 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.219872540296e-03       9.017634934408e+03 
       6.345552500285e-03       9.129493187862e+03 
       6.471363362067e-03       9.239334425631e+03 
       6.597298511245e-03       9.347079763100e+03 
       6.723351808830e-03       9.452802879624e+03 
       6.849517551848e-03       9.556514250118e+03 
       6.975790437733e-03       9.658198013666e+03 
       7.102165532088e-03       9.757934404948e+03 
       7.228638239472e-03       9.855918162868e+03 
       7.355204276894e-03       9.951877123111e+03 
       7.481859649730e-03       1.004542518345e+04 
       7.608600629819e-03       1.013738294744e+04 
       7.735423735527e-03       1.022796514781e+04 
       7.862325713566e-03       1.031619766491e+04 
       7.989303522403e-03       1.040254886439e+04 
       8.116354317107e-03       1.048709507462e+04 
       8.243475435493e-03       1.056982293893e+04 
       8.370664385429e-03       1.065076559803e+04 
       8.497918833216e-03       1.072999220399e+04 
       8.625236592919e-03       1.080738467471e+04 
       8.752615616576e-03       1.088303873680e+04 
       8.880053985201e-03       1.095697099934e+04 
       9.007549900508e-03       1.102921521174e+04 
       9.135101677287e-03       1.109965517172e+04 
       9.262707736385e-03       1.116854672593e+04 
       9.390366598231e-03       1.123589825431e+04 
       9.518076876859e-03       1.130140600007e+04 
       9.645837274391e-03       1.136552208840e+04 
       9.773646575931e-03       1.142742609442e+04 
       9.901503644852e-03       1.148878573460e+04 
       1.002940741843e-02       1.154793647079e+04 
       1.015735690378e-02       1.160571516450e+04 
       1.028535117414e-02       1.166206584392e+04 
       1.041338936539e-02       1.171666230897e+04 
       1.054147067279e-02       1.177004366678e+04 
       1.066959434803e-02       1.182183688358e+04 
       1.079775969644e-02       1.187217021483e+04 
       1.092596607441e-02       1.192105850870e+04 
       1.105421288699e-02       1.196838092279e+04 
       1.118249958563e-02       1.201411693076e+04 
       1.131082566619e-02       1.205881857265e+04 
       1.143919066690e-02       1.210213170205e+04 
       1.156759416668e-02       1.214461914010e+04 
       1.169603578339e-02       1.218509036472e+04 
       1.182451517231e-02       1.222459234416e+04 
       1.195303202469e-02       1.226259778920e+04 
       1.208158606643e-02       1.229931796353e+04 
       1.221017705681e-02       1.233475392169e+04 
       1.233880478731e-02       1.236895165060e+04 
       1.246746908058e-02       1.240189910403e+04 
       1.259616978942e-02       1.243360645607e+04 
       1.272490679583e-02       1.246390153070e+04 
       1.285368001017e-02       1.249339711263e+04 
       1.298248937038e-02       1.252150810051e+04 
       1.311133484117e-02       1.254843760495e+04 
       1.324021641342e-02       1.257403454490e+04 
       1.336913410352e-02       1.259872583796e+04 
       1.349808795276e-02       1.262238696474e+04 
       1.362707802683e-02       1.264477528371e+04 
       1.375610441532e-02       1.266580303950e+04 
       1.388516723129e-02       1.268607131330e+04 
       1.401426661081e-02       1.270525811695e+04 
       1.414340271265e-02       1.272328566565e+04 
       1.427257571792e-02       1.274047926258e+04 
       1.440178582977e-02       1.275646279481e+04 
       1.453103327311e-02       1.277139426657e+04 
       1.466031829438e-02       1.278536364917e+04 
       1.478964116137e-02       1.279812651486e+04 
       1.491900216301e-02       1.281028247255e+04 
       1.504840160920e-02       1.282079109676e+04 
       1.517783983073e-02       1.283131964617e+04 
       1.530731717916e-02       1.284038745245e+04 
       1.543683402673e-02       1.284857430973e+04 
       1.556639076630e-02       1.285561404601e+04 
       1.569598781137e-02       1.286204300444e+04 
       1.582562559600e-02       1.286758862909e+04 
       1.595530457486e-02       1.287187956554e+04 
       1.608502522327e-02       1.287581756714e+04 
       1.621478803722e-02       1.287861957064e+04 
       1.634459353345e-02       1.288039423665e+04 
       1.647444224958e-02       1.288162933216e+04 
       1.660433474414e-02       1.288198574707e+04 
       1.673427159678e-02       1.288128824168e+04 
       1.686425340835e-02       1.288003707425e+04 
       1.699428080111e-02       1.287799319116e+04 
       1.712435441886e-02       1.287500400685e+04 
       1.725447492718e-02       1.287132386241e+04 
       1.738464301363e-02       1.286703067919e+04 
       1.751485938798e-02       1.286173007794e+04 
       1.764512478243e-02       1.285589649875e+04 
       1.777543995193e-02       1.284896704404e+04 
       1.790580567440e-02       1.284147920606e+04 
       1.803622275109e-02       1.283341488896e+04 
       1.816669200684e-02       1.282464200959e+04 
       1.829721429042e-02       1.281546393106e+04 
       1.842779047491e-02       1.280506585708e+04 
       1.855842145803e-02       1.279454022559e+04 
       1.868910816253e-02       1.278297061074e+04 
       1.881985153660e-02       1.277110823960e+04 
       1.895065255427e-02       1.275800536797e+04 
       1.908151221584e-02       1.274475526111e+04 
       1.921243154835e-02       1.273085303764e+04 
